author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309346265/;Москва;rent;flat;50;75;2;92.0;255000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309345624/;Москва;rent;flat;43;68;2;77.0;230000;0;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/309587956/;Москва;rent;flat;5;13;1;33.0;30000;0;;шоссе Рязановское;31к1;Силикатная
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309345776/;Москва;rent;flat;42;78;2;72.0;230000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
capital city;real_estate_agent;https://www.cian.ru/rent/flat/309346215/;Москва;rent;flat;50;85;2;96.0;230000;0;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309499436/;Москва;rent;flat;4;5;1;38.0;42000;0;Южное Тушино; Фабрициуса;38К2;Сходненская
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/309340317/;Москва;rent;flat;55;75;2;90.0;420000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/309339745/;Москва;rent;flat;42;75;2;100.0;380000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309522378/;Москва;rent;flat;6;14;1;28.4;35000;0;;шоссе Остафьевское;12к1;Щербинка
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309581366/;Москва;rent;flat;4;16;2;65.3;99500;0;Коптево; Космонавта Волкова;31К1;Красный Балтиец
Иван Музалевский;realtor;https://www.cian.ru/rent/flat/277337673/;Москва;rent;flat;7;8;2;44.2;80000;0;Сокол;Малый Песчаный переулок;2;Сокол
InHome24;real_estate_agent;https://www.cian.ru/rent/flat/309521746/;Москва;rent;flat;4;4;-1;15.0;27990;0;;;вл1с1;Тютчевская
ID 124073068;homeowner;https://www.cian.ru/rent/flat/309465194/;Москва;rent;flat;6;8;2;54.0;85000;0;Войковский; Зои и Александра Космодемьянских;4К3;Войковская
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/300878014/;Москва;rent;flat;9;13;2;47.0;118900;0;Хорошевский;Ходынский бульвар;2;ЦСКА
Ирина Василевская;realtor;https://www.cian.ru/rent/flat/263890530/;Москва;rent;flat;3;9;1;35.0;38000;0;Вешняки;Кетчерская ;8К3;Новогиреево
Kalinka Group;real_estate_agent;https://www.cian.ru/rent/flat/309523037/;Москва;rent;flat;3;9;2;148.5;450000;0;Тверской;1-я Тверская-Ямская ;2;Маяковская
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/297266229/;Москва;rent;flat;42;75;-1;40.0;220000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Квартирный центр;real_estate_agent;https://www.cian.ru/rent/flat/309573497/;Москва;rent;flat;2;25;1;40.1;42000;0;Метрогородок;Открытое шоссе;30;Бульвар Рокоссовского
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/309184221/;Москва;rent;flat;55;75;2;80.0;380000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
ДОМ;real_estate_agent;https://www.cian.ru/rent/flat/308727856/;Москва;rent;flat;6;26;-1;27.0;65000;0;Головинский;Кронштадтский бульвар;6к5;Водный стадион
Монолит;real_estate_agent;https://www.cian.ru/rent/flat/296921933/;Москва;rent;flat;1;9;1;15.0;36000;0;Отрадное; Пестеля;1;Отрадное
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309230541/;Москва;rent;flat;7;8;1;60.0;180000;0;Тверской;Тверская ;4;Охотный ряд
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309239737/;Москва;rent;flat;33;33;2;50.0;110000;0;Очаково-Матвеевское; Малая Очаковская;4Ак2;Озёрная
ID 428991;homeowner;https://www.cian.ru/rent/flat/308804184/;Москва;rent;flat;13;21;1;22.0;79000;0;Очаково-Матвеевское;Очаковское шоссе;9А;Аминьевская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309236956/;Москва;rent;flat;12;25;2;61.3;140000;0;Фили-Давыдково;Давыдковская ;5;Славянский бульвар
Prime Estate;real_estate_agent;https://www.cian.ru/rent/flat/309525738/;Москва;rent;flat;13;17;2;74.0;165000;0;Раменки;Мичуринский проспект;7;Ломоносовский проспект
ID 119977474;realtor;https://www.cian.ru/rent/flat/306857894/;Москва;rent;flat;3;12;1;33.1;79000;0;Бутырский; Яблочкова;25;Фонвизинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309049517/;Москва;rent;flat;3;10;1;50.0;250000;0;Басманный;Чистопрудный бульвар;12К4;Чистые пруды
